Title,Status,Source,Final_URL,Notes
Dissimilar laser welding of an as-rolled CoCrFeMnNi high entropy alloy to Inconel 718 superalloy,BLOCKED,Unpaywall,https://doi.org/10.1016/j.optlastec.2024.111427,OA exists but host blocked or non-PDF content.
Multiscale characterization of NiTi shape memory alloy to Ti6Al4V dissimilar laser welded joints,BLOCKED,Unpaywall,https://doi.org/10.1016/j.optlastec.2024.111853,OA exists but host blocked or non-PDF content.
Blocked Host,SKIPPED,https://www.sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S0030399224008855/pdfft?pid=1-s2.0-S0030399224008855-main.pdf,domain not in OA whitelist
Blocked Host,SKIPPED,https://www.sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S0030399224008855/pdfft?pid=1-s2.0-S0030399224008855-main.pdf,domain not in OA whitelist
ArXiv Paper,DOWNLOADED,https://arxiv.org,https://arxiv.org/pdf/2101.00001.pdf,
ArXiv Abs,DOWNLOADED,https://arxiv.org,https://arxiv.org/pdf/2101.00001.pdf,resolved via landing page
Dissimilar laser welding of an as-rolled CoCrFeMnNi high entropy alloy to Inconel 718 superalloy,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Multiscale characterization of NiTi shape memory alloy to Ti6Al4V dissimilar laser welded joints,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Phase Stability and Inverse Hall-Petch Effect of Severely Deformed and Annealed CrMnFeCoNi High-Entropy Alloy,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Impact of hot and warm deformation on the bainite morphology and kinetics,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Linear polarization properties of energetic x-rays being Compton-scattered off atomic targets,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Influence of B4C alloying on the phase stability of Fe-Mn-Co-Cr-Si high entropy alloys,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Impact of high-pressure hydrogen charging on mechanical behavior and lattice parameters,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Accurate prediction of structural and mechanical properties on amorphous materials,DOWNLOADED,https://arxiv.org,https://arxiv.org/pdf/2505.18993,
Position-dependent variations in cell wall orientation of hardwood branches,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Wire-Arc directed energy deposition of metastable-β alloy Ti-15 V-3Cr-3Sn-3Al,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Revealing the Hidden Polysulfides in Solid-State Na–S Batteries,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Dissimilar laser welding of an as-rolled CoCrFeMnNi high entropy alloy to Inconel 718 superalloy,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Multiscale characterization of NiTi shape memory alloy to Ti6Al4V dissimilar laser welded joints,DOWNLOADED,https://security.web.cern.ch,https://security.web.cern.ch/security/rules/en/OC5_english.pdf,
Blocked Host,SKIPPED,https://www.sciencedirect.com,https://www.sciencedirect.com/science/article/pii/S0030399224008855/pdfft?pid=1-s2.0-S0030399224008855-main.pdf,domain not in OA whitelist
ArXiv Paper,DOWNLOADED,https://arxiv.org,https://arxiv.org/pdf/2101.00001.pdf,
ArXiv Abs,DOWNLOADED,https://arxiv.org,https://arxiv.org/pdf/2101.00001.pdf,resolved via landing page
